"Plot","su","Temp","Campanula_rotundifolia","Centaurea_jacea","Clinopodium_vulgare","Euphrasia_stricta","Hypericum_maculatum","Knautia_arvensis","Prunella_vulgaris","Trifolium_pratense","Trifolium_repens"
17,"17_11.06.2003_17",21.8,0,0,0,0,0,0,0,1.09861228866811,0
3,"3_15.06.2003_13",22.6,0,0,0,0,0,0,0,1.09861228866811,0.693147180559945
20,"20_15.06.2003_12",19.7,0,0,0,0,0,0,0,1.38629436111989,0
7,"7_15.06.2003_9",23.5,0,0,0,0,0,0,0,0.693147180559945,0
16,"16_18.06.2003_12",28.1,0,0,0,0,0,0,0,0.693147180559945,0
5,"5_18.06.2003_11",27.6,0,0,0,0,0,0,0,0,0.693147180559945
15,"15_21.06.2003_14",30.3,0,0,0,0,0,0,0,0.693147180559945,1.38629436111989
10,"10_21.06.2003_16",23.4,0,0,0,0,0,0,0,2.30258509299405,1.38629436111989
8,"8_21.06.2003_10",20.4,0,0,0,0,0,0,0,1.6094379124341,0
17,"17_21.06.2003_13",24.3,0,0,0,0,0,0,0,1.94591014905531,1.94591014905531
15,"15_25.06.2003_13",24.6,0,0,0,0,0,0,0,1.6094379124341,2.19722457733622
20,"20_25.06.2003_15",25.4,0,0,0,0,0,0,0,1.6094379124341,0
9,"9_25.06.2003_16",24.4,0,0,0,0,0,0,0,1.09861228866811,3.78418963391826
13,"13_25.06.2003_18",25.1,0,0,0,0,0,0,0,1.38629436111989,1.09861228866811
4,"4_25.06.2003_19",23.1,0,0,0,0,0,0,0,1.09861228866811,2.07944154167984
18,"18_27.06.2003_11",30.8,0,0,0,0.693147180559945,0,0,0,2.484906649788,3.2188758248682
10,"10_27.06.2003_12",32.3,0,0,0,1.38629436111989,0,0,2.63905732961526,2.83321334405622,1.38629436111989
8,"8_27.06.2003_14",34.6,0,0,0,0,0,0,0,2.39789527279837,0.693147180559945
15,"15_27.06.2003_15",41.8,0,0,0,0,0,0,0,1.38629436111989,2.56494935746154
18,"18_28.06.2003_9",27,0,0,0,0.693147180559945,0,0,0,2.484906649788,3.2188758248682
7,"7_28.06.2003_10",30.4,0,0,0,1.6094379124341,0,0,1.6094379124341,1.09861228866811,0
1,"1_01.07.2003_10",34.1,0,0,0,0,0,0,1.09861228866811,0,0
3,"3_01.07.2003_19",20.6,0.693147180559945,0,0,0,0,0,2.30258509299405,2.484906649788,3.13549421592915
5,"5_01.07.2003_11",29.1,0,0,0,0,0,0,0,3.17805383034795,2.19722457733622
11,"11_01.07.2003_17",29.4,0,0,0,0,0,0,2.19722457733622,2.07944154167984,0
19,"19_01.07.2003_17",25.9,0.693147180559945,0,0,0,0,0.693147180559945,1.79175946922805,3.29583686600433,3.25809653802148
9,"9_02.07.2003_10",28.6,0,0,0,2.70805020110221,0,0,1.6094379124341,4.12713438504509,3.73766961828337
17,"17_02.07.2003_14",24.5,0,0,0,2.39789527279837,0,0.693147180559945,0,3.73766961828337,2.19722457733622
16,"16_02.07.2003_15",27.7,0,0,0,0,0,0,1.79175946922805,2.83321334405622,2.63905732961526
10,"10_02.07.2003_16",27.3,0,0,0,2.56494935746154,0,0,3.87120101090789,3.68887945411394,0.693147180559945
13,"13_02.07.2003_11",25,0,0,0,0,0,0,2.07944154167984,1.79175946922805,1.79175946922805
19,"19_03.07.2003_18",27,1.6094379124341,0,0,0,0,0.693147180559945,1.79175946922805,3.29583686600433,3.46573590279973
18,"18_03.07.2003_18",27,0,0,0,1.38629436111989,0,0.693147180559945,0,3.04452243772342,3.40119738166216
2,"2_03.07.2003_13",25.8,0,0,0,3.25809653802148,0,0,2.83321334405622,2.70805020110221,2.19722457733622
9,"9_03.07.2003_13",31.1,0,0,0,2.70805020110221,0,0,1.6094379124341,4.12713438504509,3.73766961828337
13,"13_04.07.2003_11",19.8,0,0,0,0,0,0,1.94591014905531,1.38629436111989,1.6094379124341
15,"15_04.07.2003_11",36.8,0,0,0,2.19722457733622,0,0,1.94591014905531,3.46573590279973,2.56494935746154
10,"10_04.07.2003_14",36.2,1.94591014905531,0,0,2.56494935746154,0,0,3.80666248977032,4.20469261939097,0
7,"7_04.07.2003_14",35,0,0,0,0,0,0,2.63905732961526,1.6094379124341,0
3,"3_04.07.2003_15",40.1,1.6094379124341,0,0,0,0,0,2.484906649788,3.25809653802148,2.63905732961526
11,"11_05.07.2003_11",28.3,0,0,0,1.09861228866811,0,0,2.39789527279837,2.94443897916644,0
16,"16_05.07.2003_11",30.4,0.693147180559945,0,0,0,0,0,1.38629436111989,3.13549421592915,0
2,"2_05.07.2003_12",34.1,0,0,2.19722457733622,3.95124371858143,0.693147180559945,0,2.99573227355399,2.63905732961526,1.38629436111989
9,"9_05.07.2003_15",39.9,0,0,0,3.25809653802148,0,0,1.94591014905531,4.57471097850338,0
4,"4_06.07.2003_12",44.3,0,0,2.19722457733622,2.30258509299405,0,0,3.95124371858143,2.94443897916644,0
7,"7_06.07.2003_12",39.6,0,0,0,2.70805020110221,0,0,2.19722457733622,2.39789527279837,0
12,"12_06.07.2003_11",29.4,1.09861228866811,0,0,0.693147180559945,0,0,3.36729582998647,3.29583686600433,0
17,"17_06.07.2003_11",30.4,1.09861228866811,0,0,2.83321334405622,0,0,0,3.76120011569356,1.6094379124341
5,"5_07.07.2003_12",27.9,0,0,1.09861228866811,1.79175946922805,0.693147180559945,0,0,3.78418963391826,1.09861228866811
6,"6_07.07.2003_11",33.9,2.30258509299405,0,0,0.693147180559945,0,0,1.6094379124341,3.2188758248682,0
3,"3_07.07.2003_?",29.2,1.94591014905531,0,2.39789527279837,0,0,0,3.04452243772342,2.77258872223978,2.19722457733622
18,"18_10.07.2003_9",32.1,2.39789527279837,0,1.79175946922805,2.99573227355399,0,1.09861228866811,0,3.98898404656427,2.94443897916644
15,"15_10.07.2003_9",33.5,0,0,1.79175946922805,2.89037175789616,1.38629436111989,0,1.79175946922805,4.02535169073515,1.09861228866811
10,"10_10.07.2003_9",22.6,1.94591014905531,0,0,3.29583686600433,0,0,2.99573227355399,4.15888308335967,0
8,"8_10.07.2003_14",30.2,0,0,0,2.484906649788,2.56494935746154,0,1.09861228866811,3.66356164612965,0
11,"11_10.07.2003_14",30.8,1.38629436111989,0,0,1.09861228866811,0,0,0,3.17805383034795,0
20,"20_10.07.2003_14",32.7,2.94443897916644,0,0,0.693147180559945,0,0,3.8286413964891,2.94443897916644,0
1,"1_10.07.2003_15",33.9,0,0,2.77258872223978,0,2.83321334405622,0,2.63905732961526,1.79175946922805,1.6094379124341
17,"17_11.07.2003_12",28.4,2.484906649788,0,0,3.61091791264422,1.38629436111989,1.09861228866811,0,3.63758615972639,1.79175946922805
8,"8_11.07.2003_12",25.9,0,0,0.693147180559945,2.70805020110221,2.77258872223978,0,1.6094379124341,3.91202300542815,0
10,"10_11.07.2003_13",26.9,2.19722457733622,0,1.38629436111989,3.73766961828337,0,0,2.63905732961526,4.30406509320417,0.693147180559945
2,"2_12.07.2003_12",30.1,0,0,2.99573227355399,4.38202663467388,1.79175946922805,0,3.09104245335832,2.99573227355399,1.09861228866811
3,"3_12.07.2003_11",27.1,2.89037175789616,0,3.71357206670431,0,0,0,2.63905732961526,2.94443897916644,0
12,"12_12.07.2003_14",33.3,1.09861228866811,0,0,0,1.38629436111989,0,2.56494935746154,3.25809653802148,0
13,"13_12.07.2003_15",28.2,0,0,0,0.693147180559945,2.19722457733622,0,0.693147180559945,2.39789527279837,0
19,"19_12.07.2003_16",27.9907692307692,2.77258872223978,0,0.693147180559945,0,0,1.09861228866811,2.19722457733622,4.0943445622221,3.13549421592915
6,"6_12.07.2003_11",22.6,2.30258509299405,0,1.6094379124341,1.38629436111989,1.38629436111989,0,3.17805383034795,3.17805383034795,0
