"Campanula_rotundifolia","Centaurea_jacea","Clinopodium_vulgare","Euphrasia_stricta","Hypericum_maculatum","Knautia_arvensis","Prunella_vulgaris","Trifolium_pratense","Trifolium_repens"
0,NA,NA,0,3,NA,NA,0,NA
0,5,NA,7,1,NA,0,0,NA
0,1,NA,NA,NA,1,0,0,NA
NA,13,NA,1,10,NA,NA,1,NA
8,1,NA,6,NA,0,NA,0,NA
2,2,12,NA,NA,NA,NA,NA,NA
NA,2,NA,0,13,NA,0,3,NA
0,2,0,0,2,NA,NA,1,NA
0,NA,NA,7,3,NA,NA,0,NA
3,NA,1,24,2,NA,NA,3,NA
NA,0,0,NA,1,NA,NA,0,NA
0,NA,0,22,0,0,NA,1,NA
NA,NA,0,0,NA,NA,NA,3,NA
NA,1,0,NA,5,NA,NA,2,NA
0,NA,NA,0,0,NA,NA,NA,NA
NA,NA,0,0,1,NA,NA,NA,NA
0,8,NA,0,0,NA,0,0,NA
0,NA,4,0,1,NA,NA,NA,NA
0,0,0,2,0,1,1,3,NA
0,NA,NA,1,3,NA,NA,0,NA
NA,0,NA,5,12,NA,0,4,NA
3,NA,2,NA,0,0,NA,1,NA
NA,3,NA,0,NA,NA,NA,2,NA
0,7,NA,NA,NA,6,0,1,NA
0,NA,0,0,NA,4,NA,4,NA
NA,12,NA,0,4,NA,NA,1,NA
15,5,0,2,0,5,0,1,NA
0,NA,1,0,2,NA,NA,1,NA
0,NA,1,NA,0,NA,NA,NA,NA
0,NA,0,0,NA,NA,NA,3,NA
0,NA,0,5,0,NA,0,4,NA
0,NA,0,0,1,NA,NA,0,NA
1,0,0,8,5,NA,NA,NA,NA
NA,NA,NA,3,0,0,NA,0,NA
NA,0,NA,9,30,NA,NA,4,NA
0,NA,NA,0,NA,NA,NA,0,NA
NA,NA,1,13,9,1,0,2,NA
0,NA,0,34,1,NA,0,1,NA
NA,NA,NA,0,0,NA,NA,0,NA
